+---------------+--------------+--------------+--------------------+--------------------+
| Property name | #Experiments | #Refinements |    XSpeed_Time     |    Overall_time    |
+---------------+--------------+--------------+--------------------+--------------------+
|   NAV_3_2_P1  |              |              |                    |                    |
|               |      1       |      0       | 0.6578176021575928 | 3.519984006881714  |
|               |      2       |      0       | 0.718130350112915  | 3.317737102508545  |
|               |      3       |      0       | 0.6541016101837158 | 3.262637138366699  |
|               |      4       |      0       | 0.6676151752471924 |  3.34062123298645  |
|               |      5       |      0       | 0.6866481304168701 | 3.367319345474243  |
|               |      6       |      0       | 0.7230556011199951 | 3.5127480030059814 |
|               |      7       |      1       | 0.6956357955932617 | 9.096403121948242  |
|               |      8       |      2       | 0.6522889137268066 | 19.324383974075317 |
|               |      9       |      0       | 0.6392514705657959 | 3.2514078617095947 |
|               |      10      |      1       | 0.7415480613708496 | 7.981624603271484  |
|               |      11      |      0       | 0.6492571830749512 | 3.347411632537842  |
|               |      12      |      0       | 0.7039899826049805 | 3.285767078399658  |
|               |      13      |      0       | 0.6686265468597412 | 3.281503200531006  |
|               |      14      |      0       | 0.671776294708252  | 3.285735845565796  |
|               |      15      |      1       | 0.684126615524292  | 7.751754522323608  |
|               |      16      |      0       | 0.650385856628418  | 3.659904718399048  |
|               |      17      |      0       | 0.6662681102752686 | 3.3239898681640625 |
|               |      18      |      0       | 0.6443367004394531 | 3.2391552925109863 |
|               |      19      |      0       | 0.6498501300811768 | 13.247442960739136 |
|               |      21      |      0       | 0.7230417728424072 | 3.5749213695526123 |
|               |      22      |      0       | 0.7178182601928711 | 3.5383753776550293 |
|               |      23      |      0       | 0.6806888580322266 | 3.5150482654571533 |
|               |      24      |      0       | 0.7161965370178223 | 3.5175375938415527 |
|               |      25      |      0       | 0.7285304069519043 |  3.6001136302948   |
|               |      26      |      0       | 0.6490631103515625 | 3.4936413764953613 |
|               |      27      |      0       | 0.657407283782959  | 3.286142349243164  |
|               |      28      |      0       | 0.6656296253204346 | 3.307910203933716  |
|               |      29      |      0       | 0.665158748626709  | 3.324059009552002  |
