+---------------+--------------+--------------+--------------------+--------------------+
| Property name | #Experiments | #Refinements |    XSpeed_Time     |    Overall_time    |
+---------------+--------------+--------------+--------------------+--------------------+
|   NAV_3_2_P2  |              |              |                    |                    |
|               |      1       |      0       | 0.6718959808349609 | 3.0942821502685547 |
|               |      2       |      0       | 0.6184985637664795 | 3.056004285812378  |
|               |      3       |      0       | 0.6616032123565674 | 3.1101605892181396 |
|               |      4       |      0       | 0.7043101787567139 | 3.124387264251709  |
|               |      5       |      1       |  0.69687819480896  | 6.708909273147583  |
|               |      6       |      0       | 0.6421806812286377 | 3.0750539302825928 |
|               |      7       |      0       | 0.6558449268341064 | 3.0966670513153076 |
|               |      8       |      0       | 0.6787915229797363 | 3.0823769569396973 |
|               |      9       |      0       | 0.6510117053985596 | 3.072096824645996  |
|               |      10      |      0       | 0.6794657707214355 | 13.117361783981323 |
|               |      11      |      0       | 0.6572248935699463 | 3.085648775100708  |
|               |      12      |      0       | 0.7091443538665771 | 3.1842801570892334 |
|               |      13      |      0       | 0.644646167755127  | 3.0905940532684326 |
|               |      14      |      0       | 0.653968334197998  | 3.0906269550323486 |
|               |      15      |      0       | 0.681466817855835  |  13.1382474899292  |
|               |      16      |      0       | 0.6615667343139648 | 3.081921100616455  |
|               |      17      |      0       | 0.678839921951294  | 3.1330056190490723 |
|               |      18      |      0       | 0.6519341468811035 | 3.0896034240722656 |
|               |      19      |      0       | 0.6695430278778076 | 3.0982441902160645 |
|               |      20      |      0       | 0.6932840347290039 | 3.089346408843994  |
|               |      21      |      0       | 0.6631777286529541 | 13.10748815536499  |
|               |      22      |      0       | 0.6461198329925537 | 13.049448013305664 |
|               |      23      |      0       | 0.6390883922576904 | 13.046484231948853 |
|               |      24      |      0       | 0.6759068965911865 | 3.0907137393951416 |
|               |      25      |      0       | 0.6960556507110596 | 3.1434268951416016 |
|               |      26      |      0       | 0.6763937473297119 | 3.0998058319091797 |
|               |      27      |      0       | 0.6838798522949219 | 3.0873281955718994 |
|               |      28      |      0       | 0.6224203109741211 | 3.052062749862671  |
|               |      29      |      0       | 0.6265413761138916 | 13.036514520645142 |
|               |      30      |      0       | 0.6228058338165283 | 13.048158884048462 |
|               |      31      |      0       | 0.6772251129150391 | 3.064544200897217  |
|               |      32      |      0       | 0.6910123825073242 | 3.271378755569458  |
|               |      33      |      0       | 0.7009475231170654 | 13.231146574020386 |
|               |      34      |      0       | 0.6248342990875244 | 3.1385695934295654 |
|               |      35      |      0       | 0.6818151473999023 | 3.1716713905334473 |
|               |      36      |      0       | 0.6721193790435791 | 13.138280630111694 |
|               |      37      |      0       | 0.6641421318054199 | 3.098290205001831  |
|               |      38      |      0       | 0.6838595867156982 | 3.1678812503814697 |
|               |      39      |      0       | 0.6614086627960205 |  3.12652325630188  |
|               |      40      |      0       | 0.6967582702636719 | 3.287572145462036  |
|               |      41      |      0       | 0.6776502132415771 | 3.1416592597961426 |
|               |      42      |      0       | 0.6654276847839355 | 3.0682852268218994 |
|               |      43      |      0       | 0.6535959243774414 | 3.044675588607788  |
|               |      44      |      0       | 0.6834502220153809 | 3.1675117015838623 |
